Date,Confirmatory Lab Percent Positive (Daily),Confirmatory Lab Total Positive (Daily),Confirmatory Lab Total Tested (Daily),Confirmatory Lab 7 Day Percent Positive,Presumptive Lab Percent Positive (Daily),Presumptive Lab Total Positive (Daily),Presumptive Lab Total Tested (Daily),Presumptive Lab 7 Day Percent Positive,Confirmatory and Presumptive Lab Total Positive (Daily),Confirmatory and Presumptive Lab Total Tested (Daily),Confirmatory and Presumptive Lab Percent Positive (Daily),Confirmatory and Presumptive Lab 7 Day Percent Positive
3/29/2022,0.022,364,16359,0.023,0.019,106,5724,0.015,470,22083,0.021,0.02
3/28/2022,0.023,281,12141,0.023,0.012,110,9026,0.015,391,21167,0.018,0.02
3/27/2022,0.025,186,7361,0.023,0.023,62,2699,0.015,248,10060,0.025,0.02
3/26/2022,0.023,248,11011,0.022,0.022,79,3512,0.015,327,14523,0.023,0.02
3/25/2022,0.021,350,16520,0.023,0.012,93,7843,0.014,443,24363,0.018,0.02
3/24/2022,0.022,345,15374,0.023,0.012,116,9756,0.014,461,25130,0.018,0.02
3/23/2022,0.024,410,17356,0.023,0.016,112,6867,0.014,522,24223,0.022,0.02
3/22/2022,0.022,400,18590,0.023,0.016,118,7610,0.014,518,26200,0.02,0.02
3/21/2022,0.023,349,15053,0.024,0.012,141,11285,0.014,490,26338,0.019,0.02
3/20/2022,0.021,164,7783,0.024,0.027,85,3128,0.014,249,10911,0.023,0.021
3/19/2022,0.025,251,10099,0.025,0.017,64,3843,0.014,315,13942,0.023,0.021
3/18/2022,0.023,380,16503,0.025,0.012,112,9146,0.014,492,25649,0.019,0.021
3/17/2022,0.024,379,15785,0.025,0.009,96,10964,0.014,475,26749,0.018,0.021
3/16/2022,0.023,412,17570,0.025,0.018,128,7269,0.015,540,24839,0.022,0.021
3/15/2022,0.025,458,18154,0.026,0.014,128,9237,0.015,586,27391,0.021,0.022
3/14/2022,0.028,380,13633,0.026,0.013,181,13805,0.016,561,27438,0.02,0.023
3/13/2022,0.028,210,7471,0.027,0.02,73,3650,0.017,283,11121,0.025,0.023
3/12/2022,0.024,266,11082,0.028,0.022,88,4042,0.017,354,15124,0.023,0.024
3/11/2022,0.023,392,17056,0.028,0.014,141,9729,0.018,533,26785,0.02,0.024
3/10/2022,0.026,416,15897,0.03,0.012,166,13475,0.018,582,29372,0.02,0.025
3/9/2022,0.028,508,18240,0.031,0.022,167,7506,0.018,675,25746,0.026,0.026
3/8/2022,0.027,576,21058,0.032,0.019,186,9900,0.019,762,30958,0.025,0.027
3/7/2022,0.033,481,14487,0.032,0.016,239,14788,0.02,720,29275,0.025,0.028
3/6/2022,0.04,327,8112,0.034,0.029,123,4238,0.021,450,12350,0.036,0.029
3/5/2022,0.028,392,14083,0.035,0.024,101,4209,0.022,493,18292,0.027,0.03
3/4/2022,0.03,576,18937,0.036,0.016,169,10347,0.022,745,29284,0.025,0.031
3/3/2022,0.035,670,18900,0.037,0.015,222,15234,0.023,892,34134,0.026,0.032
3/2/2022,0.031,715,22966,0.039,0.027,227,8511,0.024,942,31477,0.03,0.034
3/1/2022,0.033,743,22782,0.041,0.027,278,10176,0.026,1021,32958,0.031,0.035
2/28/2022,0.044,659,15144,0.044,0.019,333,17313,0.027,992,32457,0.031,0.038
2/27/2022,0.055,495,9002,0.045,0.042,181,4312,0.029,676,13314,0.051,0.039
2/26/2022,0.04,605,15267,0.047,0.038,168,4391,0.029,773,19658,0.039,0.04
2/25/2022,0.037,851,23216,0.048,0.023,235,10320,0.03,1086,33536,0.032,0.042
2/24/2022,0.047,947,20270,0.051,0.018,320,17479,0.032,1267,37749,0.034,0.044
2/23/2022,0.042,1043,25120,0.053,0.039,355,9073,0.034,1398,34193,0.041,0.046
2/22/2022,0.05,1220,24600,0.057,0.034,422,12364,0.036,1642,36964,0.044,0.049
2/21/2022,0.056,962,17312,0.059,0.028,515,18541,0.038,1477,35853,0.041,0.051
2/20/2022,0.074,702,9431,0.062,0.052,236,4500,0.039,938,13931,0.067,0.053
2/19/2022,0.052,869,16694,0.064,0.049,285,5833,0.041,1154,22527,0.051,0.055
2/18/2022,0.051,1247,24233,0.067,0.033,446,13380,0.042,1693,37613,0.045,0.058
2/17/2022,0.063,1523,24040,0.071,0.027,528,19385,0.045,2051,43425,0.047,0.062
2/16/2022,0.061,1698,28001,0.077,0.054,631,11657,0.049,2329,39658,0.059,0.066
2/15/2022,0.06,1745,28971,0.081,0.045,692,15262,0.052,2437,44233,0.055,0.07
2/14/2022,0.084,1449,17159,0.089,0.036,806,22536,0.057,2255,39695,0.057,0.077
2/13/2022,0.093,996,10709,0.095,0.082,384,4704,0.064,1380,15413,0.09,0.084
2/12/2022,0.08,1414,17686,0.1,0.079,426,5383,0.068,1840,23069,0.08,0.088
2/11/2022,0.08,2049,25654,0.106,0.054,757,14066,0.072,2806,39720,0.071,0.093
2/10/2022,0.096,2381,24798,0.111,0.043,947,22123,0.073,3328,46921,0.071,0.096
2/9/2022,0.084,2779,33096,0.116,0.085,993,11665,0.074,3772,44761,0.084,0.099
2/8/2022,0.101,3652,36193,0.126,0.075,1166,15478,0.079,4818,51671,0.093,0.108
2/7/2022,0.132,3026,22919,0.137,0.064,1678,26419,0.085,4704,49338,0.095,0.117
2/6/2022,0.165,1952,11829,0.145,0.15,966,6431,0.092,2918,18260,0.16,0.124
2/5/2022,0.136,2077,15225,0.15,0.129,846,6580,0.095,2923,21805,0.134,0.129
2/4/2022,0.12,1688,14076,0.156,0.065,685,10552,0.097,2373,24628,0.096,0.133
2/3/2022,0.127,2520,19815,0.162,0.035,612,17376,0.09,3132,37191,0.084,0.133
2/2/2022,0.132,5051,38249,0.173,0.124,1647,13286,0.096,6698,51535,0.13,0.142
2/1/2022,0.146,5689,39017,0.186,0.105,2052,19520,0.104,7741,58537,0.132,0.153
1/31/2022,0.189,4774,25307,0.201,0.092,2873,31373,0.111,7647,56680,0.135,0.165
1/30/2022,0.209,3464,16582,0.21,0.182,1449,7978,0.121,4913,24560,0.2,0.174
1/29/2022,0.188,4119,21870,0.215,0.131,1315,10032,0.127,5434,31902,0.17,0.18
1/28/2022,0.173,6708,38880,0.221,0.062,2093,33634,0.134,8801,72514,0.121,0.187
1/27/2022,0.202,8573,42464,0.235,0.087,2914,33350,0.155,11487,75814,0.152,0.205
1/26/2022,0.206,9650,46773,0.245,0.184,3269,17752,0.165,12919,64525,0.2,0.216
1/25/2022,0.229,9938,43386,0.258,0.155,3700,23897,0.176,13638,67283,0.203,0.228
1/24/2022,0.263,8216,31203,0.268,0.135,5135,38062,0.185,13351,69265,0.193,0.238
1/23/2022,0.272,5651,20760,0.273,0.265,2932,11054,0.19,8583,31814,0.27,0.243
1/22/2022,0.24,9424,39342,0.277,0.232,2503,10786,0.192,11927,50128,0.238,0.247
1/21/2022,0.257,12857,50089,0.282,0.171,4230,24738,0.196,17087,74827,0.228,0.251
1/20/2022,0.263,15320,58173,0.286,0.142,5441,38441,0.2,20761,96614,0.215,0.256
1/19/2022,0.279,16874,60391,0.293,0.248,6357,25598,0.206,23231,85989,0.27,0.263
1/18/2022,0.296,15497,52297,0.299,0.211,6847,32405,0.21,22344,84702,0.264,0.268
1/17/2022,0.301,10862,36134,0.301,0.158,5643,35789,0.215,16505,71923,0.229,0.272
1/16/2022,0.317,9195,29001,0.305,0.293,3559,12131,0.218,12754,41132,0.31,0.275
1/15/2022,0.283,13040,46076,0.308,0.277,3450,12433,0.215,16490,58509,0.282,0.275
1/14/2022,0.282,18892,67017,0.314,0.2,5813,29032,0.211,24705,96049,0.257,0.277
1/13/2022,0.307,19523,63642,0.322,0.175,7412,42431,0.212,26935,106073,0.254,0.282
1/12/2022,0.311,21176,68078,0.329,0.269,8168,30403,0.211,29344,98481,0.298,0.287
1/11/2022,0.307,22776,74273,0.318,0.24,8249,34309,0.207,31025,108582,0.286,0.279
1/10/2022,0.334,17131,51326,0.314,0.188,9578,50945,0.194,26709,102271,0.261,0.271
1/9/2022,0.351,12124,34556,0.305,0.222,5096,22943,0.186,17220,57499,0.299,0.262
1/8/2022,0.335,16120,48117,0.299,0.216,4172,19339,0.186,20292,67456,0.301,0.258
1/7/2022,0.332,22602,68144,0.294,0.205,6578,32048,0.184,29180,100192,0.291,0.254
1/6/2022,0.347,24502,70633,0.291,0.168,6901,40989,0.182,31403,111622,0.281,0.251
1/5/2022,0.266,24652,92509,0.288,0.23,8681,37681,0.179,33333,130190,0.256,0.248
1/4/2022,0.287,24986,87122,0.299,0.166,8815,53019,0.178,33801,140141,0.241,0.253
1/3/2022,0.266,17932,67502,0.305,0.157,9808,62393,0.186,27740,129895,0.214,0.26
1/2/2022,0.274,10870,39608,0.315,0.213,4480,20987,0.19,15350,60595,0.253,0.268
1/1/2022,0.279,11538,41427,0.321,0.193,2957,15345,0.192,14495,56772,0.255,0.271
12/31/2021,0.318,16374,51538,0.324,0.198,5251,26562,0.191,21625,78100,0.277,0.272
12/30/2021,0.331,22949,69319,0.316,0.151,7194,47499,0.187,30143,116818,0.258,0.266
12/29/2021,0.33,22303,67512,0.302,0.228,8016,35133,0.18,30319,102645,0.295,0.254
12/28/2021,0.316,19746,62485,0.281,0.216,7528,34922,0.168,27274,97407,0.28,0.237
12/27/2021,0.334,14089,42202,0.266,0.164,7806,47629,0.156,21895,89831,0.244,0.222
12/26/2021,0.344,6845,19913,0.254,0.254,3848,15139,0.143,10693,35052,0.305,0.211
12/25/2021,0.281,6789,24153,0.247,0.16,1119,7003,0.135,7908,31156,0.254,0.205
12/24/2021,0.261,11460,43872,0.241,0.16,3137,19614,0.135,14597,63486,0.23,0.201
12/23/2021,0.25,13432,53703,0.234,0.114,4732,41518,0.129,18164,95221,0.191,0.193
12/22/2021,0.228,13439,58942,0.224,0.157,4324,27536,0.124,17763,86478,0.205,0.185
12/21/2021,0.234,11674,49784,0.214,0.145,4425,30457,0.12,16099,80241,0.201,0.178
12/20/2021,0.25,9642,38605,0.204,0.108,4383,40526,0.115,14025,79131,0.177,0.169
12/19/2021,0.251,6582,26252,0.196,0.165,2124,12894,0.111,8706,39146,0.222,0.163
12/18/2021,0.217,7645,35310,0.19,0.149,2075,13966,0.109,9720,49276,0.197,0.159
12/17/2021,0.209,9052,43295,0.185,0.106,2800,26491,0.107,11852,69786,0.17,0.154
12/16/2021,0.188,8638,45950,0.176,0.09,3256,36017,0.104,11894,81967,0.145,0.147
12/15/2021,0.173,8544,49303,0.172,0.13,3046,23394,0.102,11590,72697,0.159,0.144
12/14/2021,0.172,7925,46134,0.166,0.114,3081,26916,0.1,11006,73050,0.151,0.14
12/13/2021,0.192,5911,30833,0.162,0.087,3205,36985,0.098,9116,67818,0.134,0.137
12/12/2021,0.193,4323,22411,0.161,0.137,1513,11024,0.098,5836,33435,0.175,0.136
12/11/2021,0.168,4998,29698,0.16,0.126,1725,13744,0.099,6723,43442,0.155,0.136
12/10/2021,0.153,6401,41948,0.16,0.086,2149,24897,0.1,8550,66845,0.128,0.137
12/9/2021,0.165,6482,39279,0.158,0.08,2603,32666,0.101,9085,71945,0.126,0.136
12/8/2021,0.143,6817,47799,0.157,0.119,2758,23264,0.102,9575,71063,0.135,0.136
12/7/2021,0.149,6688,44893,0.157,0.098,2133,21851,0.103,8821,66744,0.132,0.136
12/6/2021,0.183,5686,31045,0.156,0.087,3269,37629,0.106,8955,68674,0.13,0.137
12/5/2021,0.181,3998,22105,0.155,0.154,1735,11271,0.108,5733,33376,0.172,0.137
12/4/2021,0.168,4921,29212,0.156,0.14,1535,10993,0.107,6456,40205,0.161,0.137
12/3/2021,0.143,6576,46081,0.155,0.095,2520,26468,0.108,9096,72549,0.125,0.136
12/2/2021,0.155,6836,44059,0.158,0.087,2948,33811,0.107,9784,77870,0.126,0.137
12/1/2021,0.144,7152,49695,0.159,0.119,3023,25388,0.109,10175,75083,0.136,0.139
11/30/2021,0.147,7077,48154,0.155,0.124,3282,26526,0.102,10359,74680,0.139,0.133
11/29/2021,0.167,5614,33637,0.151,0.095,3645,38323,0.097,9259,71960,0.129,0.129
11/28/2021,0.205,3629,17734,0.149,0.136,1662,12181,0.092,5291,29915,0.177,0.126
11/27/2021,0.159,4011,25266,0.145,0.149,1495,10018,0.091,5506,35284,0.156,0.123
11/26/2021,0.169,3679,21764,0.144,0.09,1963,21875,0.09,5642,43639,0.129,0.121
11/25/2021,0.165,2776,16852,0.139,0.061,509,8295,0.089,3285,25147,0.131,0.119
11/24/2021,0.122,5324,43736,0.136,0.08,2150,26802,0.087,7474,70538,0.106,0.116
11/23/2021,0.126,5377,42516,0.135,0.096,2339,24313,0.09,7716,66829,0.115,0.117
11/22/2021,0.161,4176,25963,0.134,0.077,2732,35629,0.089,6908,61592,0.112,0.116
11/21/2021,0.154,3176,20586,0.133,0.127,1334,10474,0.09,4510,31060,0.145,0.115
11/20/2021,0.149,3737,25157,0.132,0.129,1300,10050,0.09,5037,35207,0.143,0.115
11/19/2021,0.129,4594,35555,0.13,0.085,2010,23652,0.089,6604,59207,0.112,0.113
11/18/2021,0.133,4913,36941,0.129,0.072,2280,31753,0.083,7193,68694,0.105,0.11
11/17/2021,0.116,5171,44509,0.127,0.1,2219,22098,0.083,7390,66607,0.111,0.109
11/16/2021,0.123,4862,39615,0.125,0.091,2219,24292,0.082,7081,63907,0.111,0.107
11/15/2021,0.154,3658,23822,0.122,0.08,2802,34914,0.082,6460,58736,0.11,0.105
11/14/2021,0.149,2745,18410,0.12,0.129,1306,10135,0.081,4051,28545,0.142,0.103
11/13/2021,0.125,3234,25830,0.119,0.11,1017,9269,0.079,4251,35099,0.121,0.102
11/12/2021,0.126,4158,32960,0.117,0.057,1826,31919,0.079,5984,64879,0.092,0.101
11/11/2021,0.12,3945,32882,0.113,0.069,1942,28072,0.083,5887,60954,0.097,0.1
11/10/2021,0.104,4034,38866,0.11,0.093,2089,22350,0.081,6123,61216,0.1,0.098
11/9/2021,0.106,3905,37010,0.107,0.091,2209,24294,0.08,6114,61304,0.1,0.096
11/8/2021,0.137,3203,23400,0.105,0.074,2446,33146,0.078,5649,56546,0.1,0.094
11/7/2021,0.134,2312,17222,0.103,0.109,1104,10113,0.076,3416,27335,0.125,0.092
11/6/2021,0.111,2830,25446,0.102,0.111,1018,9192,0.075,3848,34638,0.111,0.091
11/5/2021,0.097,3045,31476,0.101,0.072,1446,20223,0.074,4491,51699,0.087,0.09
11/4/2021,0.104,3397,32748,0.1,0.06,1689,28298,0.072,5086,61046,0.083,0.089
11/3/2021,0.087,3361,38668,0.099,0.089,1704,19099,0.071,5065,57767,0.088,0.087
11/2/2021,0.095,3447,36131,0.097,0.076,1647,21718,0.069,5094,57849,0.088,0.086
11/1/2021,0.121,2584,21282,0.095,0.066,2029,30812,0.068,4613,52094,0.089,0.084
10/31/2021,0.12,1778,14871,0.093,0.106,791,7478,0.066,2569,22349,0.115,0.082
10/30/2021,0.102,2302,22626,0.093,0.091,747,8180,0.065,3049,30806,0.099,0.082
10/29/2021,0.094,2905,31004,0.093,0.061,1180,19478,0.065,4085,50482,0.081,0.082
10/28/2021,0.094,2841,30338,0.091,0.05,1369,27221,0.065,4210,57559,0.073,0.08
10/27/2021,0.08,2976,37202,0.09,0.081,1499,18425,0.065,4475,55627,0.08,0.08
10/26/2021,0.084,3090,36786,0.09,0.065,1360,20862,0.064,4450,57648,0.077,0.08
10/25/2021,0.103,2584,25090,0.091,0.057,1830,32057,0.064,4414,57147,0.077,0.08
10/24/2021,0.112,1707,15178,0.092,0.101,712,7035,0.064,2419,22213,0.109,0.081
10/23/2021,0.103,2229,21647,0.092,0.097,738,7595,0.063,2967,29242,0.101,0.081
10/22/2021,0.08,2777,34840,0.093,0.058,1115,19153,0.063,3892,53993,0.072,0.082
10/21/2021,0.089,3190,35991,0.095,0.049,1355,27728,0.063,4545,63719,0.071,0.082
10/20/2021,0.083,3202,38573,0.097,0.072,1337,18461,0.062,4539,57034,0.08,0.083
10/19/2021,0.087,3289,37706,0.098,0.068,1477,21599,0.064,4766,59305,0.08,0.085
10/18/2021,0.109,2984,27439,0.102,0.055,1843,33309,0.066,4827,60748,0.079,0.087
10/17/2021,0.11,1939,17574,0.104,0.092,757,8200,0.067,2696,25774,0.105,0.089
10/16/2021,0.114,2741,24005,0.106,0.097,762,7890,0.068,3503,31895,0.11,0.091
10/15/2021,0.091,3244,35761,0.109,0.056,1288,22937,0.069,4532,58698,0.077,0.093
10/14/2021,0.099,3809,38542,0.11,0.048,1558,32372,0.069,5367,70914,0.076,0.094
10/13/2021,0.095,4356,46073,0.113,0.081,1751,21503,0.071,6107,67576,0.09,0.096
10/12/2021,0.106,4167,39294,0.116,0.078,1912,24466,0.073,6079,63760,0.095,0.099
10/11/2021,0.132,3553,26978,0.118,0.062,2279,36922,0.073,5832,63900,0.091,0.1
10/10/2021,0.133,2520,18946,0.119,0.118,1012,8556,0.075,3532,27502,0.128,0.102
10/9/2021,0.134,3565,26569,0.119,0.1,910,9094,0.075,4475,35663,0.125,0.102
10/8/2021,0.104,4382,42296,0.119,0.061,1480,24337,0.075,5862,66633,0.088,0.102
10/7/2021,0.113,4764,42236,0.12,0.059,1978,33720,0.076,6742,75956,0.089,0.103
10/6/2021,0.111,5003,45017,0.122,0.091,1933,21264,0.076,6936,66281,0.105,0.104
10/5/2021,0.118,5158,43786,0.123,0.079,2090,26428,0.076,7248,70214,0.103,0.105
10/4/2021,0.141,4249,30208,0.124,0.07,2605,37412,0.077,6854,67620,0.101,0.106
10/3/2021,0.129,2898,22499,0.125,0.121,1154,9539,0.075,4052,32038,0.126,0.105
10/2/2021,0.131,3728,28471,0.126,0.102,946,9271,0.075,4674,37742,0.124,0.106
10/1/2021,0.113,4564,40232,0.126,0.065,1684,25902,0.075,6248,66134,0.094,0.106
9/30/2021,0.124,5534,44619,0.127,0.059,2024,34234,0.076,7558,78853,0.096,0.107
9/29/2021,0.118,5704,48420,0.126,0.09,2005,22161,0.075,7709,70581,0.109,0.106
9/28/2021,0.121,5604,46434,0.126,0.085,2256,26625,0.075,7860,73059,0.108,0.107
9/27/2021,0.149,4625,30963,0.128,0.065,2622,40594,0.073,7247,71557,0.101,0.107
9/26/2021,0.147,3334,22737,0.129,0.117,1122,9610,0.073,4456,32347,0.138,0.109
9/25/2021,0.129,4421,34402,0.131,0.102,1084,10631,0.074,5505,45033,0.122,0.11
9/24/2021,0.118,5250,44326,0.134,0.066,1705,25882,0.075,6955,70208,0.099,0.112
9/23/2021,0.117,5729,48817,0.135,0.057,1972,34844,0.076,7701,83661,0.092,0.113
9/22/2021,0.12,6876,57138,0.137,0.086,2047,23691,0.077,8923,80829,0.11,0.115
9/21/2021,0.131,6797,52054,0.141,0.076,2160,28478,0.078,8957,80532,0.111,0.118
9/20/2021,0.159,5948,37316,0.142,0.066,2657,40386,0.08,8605,77702,0.111,0.119
9/19/2021,0.16,4376,27392,0.14,0.12,1305,10905,0.081,5681,38297,0.148,0.119
9/18/2021,0.153,5356,34932,0.139,0.123,1202,9798,0.08,6558,44730,0.147,0.118
9/17/2021,0.127,6687,52707,0.137,0.072,1977,27355,0.08,8664,80062,0.108,0.116
9/16/2021,0.136,7037,51866,0.137,0.062,2343,37556,0.08,9380,89422,0.105,0.116
9/15/2021,0.139,7191,51810,0.137,0.094,2308,24537,0.081,9499,76347,0.124,0.117
9/14/2021,0.137,7656,55725,0.136,0.087,2531,29177,0.082,10187,84902,0.12,0.117
9/13/2021,0.147,5751,39211,0.137,0.07,2895,41154,0.079,8646,80365,0.108,0.115
9/12/2021,0.14,4347,31067,0.139,0.114,1259,11062,0.08,5606,42129,0.133,0.117
9/11/2021,0.135,5402,40098,0.139,0.122,1201,9840,0.081,6603,49938,0.132,0.117
9/10/2021,0.127,7285,57223,0.137,0.069,2062,29723,0.08,9347,86946,0.108,0.116
9/9/2021,0.135,7467,55186,0.138,0.068,2523,37192,0.081,9990,92378,0.108,0.117
9/8/2021,0.138,7164,51999,0.138,0.103,2651,25775,0.08,9815,77774,0.126,0.116
9/7/2021,0.147,5149,34957,0.137,0.072,2919,40414,0.078,8068,75371,0.107,0.115
9/6/2021,0.172,4075,23751,0.134,0.067,1158,17158,0.08,5233,40909,0.128,0.116
9/5/2021,0.137,4213,30680,0.13,0.125,1054,8443,0.078,5267,39123,0.135,0.111
9/4/2021,0.124,4658,37586,0.129,0.119,1141,9596,0.077,5799,47182,0.123,0.111
9/3/2021,0.13,5955,45875,0.129,0.073,1847,25131,0.076,7802,71006,0.11,0.11
9/2/2021,0.133,6099,45794,0.126,0.062,2104,34035,0.076,8203,79829,0.103,0.108
9/1/2021,0.134,6434,47869,0.124,0.089,1942,21769,0.076,8376,69638,0.12,0.107
8/31/2021,0.127,6245,49172,0.121,0.085,2043,24145,0.075,8288,73317,0.113,0.105
8/30/2021,0.122,4561,37286,0.114,0.062,2228,36011,0.074,6789,73297,0.093,0.101
8/29/2021,0.133,3324,24994,0.114,0.115,925,8068,0.073,4249,33062,0.129,0.101
8/28/2021,0.118,3881,32933,0.113,0.102,844,8299,0.073,4725,41232,0.115,0.1
8/27/2021,0.113,4820,42482,0.11,0.073,1495,20501,0.072,6315,62983,0.1,0.098
8/26/2021,0.12,5107,42606,0.106,0.058,1544,26487,0.07,6651,69093,0.096,0.095
8/25/2021,0.114,4855,42490,0.101,0.087,1487,17118,0.069,6342,59608,0.106,0.091
8/24/2021,0.092,4506,49046,0.096,0.077,1411,18230,0.066,5917,67276,0.088,0.087
